name,ra,dec,Class,significance,F_s,F_m,F_h,F_b,P_intra,P_inter,name_cat,ra_cat,dec_cat,SubClass,ref,MW_MW,p_any,p_i,G,BP,RP,RPlx,PM,epsi,sepsi,ruwe,rgeo,J,H,K,W1,W2,W3
2CXO J143624.2+353710,219.1012373,35.6194796,AGN,7.234742896653449,2.725865619651724e-14,1.3104076319214058e-14,3.64714851481287e-14,7.683421766385999e-14,0.931798764359836,0.744,SDSS J14364+3537,219.10125,35.619167,Q;*|AGN|G|Opt|QSO|UV|X,2010A&A...518A..10V,gca,0.996566,1.0,18.611916,18.694136,18.369911,0.6665,0.000398,0.0,0.0,0.966,,,,,14.654,13.577,10.741
2CXO J143624.6+352536,219.1026415,35.4269333,AGN,6.5971034828850605,1.981820505950788e-14,9.393217159531188e-15,1.873219945030336e-14,4.7943621669342426e-14,0.3666134692005299,0.809,SDSS J14364+3525,219.102917,35.426944,Q;*|Opt|QSO|UV|X,2010A&A...518A..10V,gca,0.9989358,1.0,18.973034,19.083881,18.784401,0.4337,0.000193,0.0,3.358e-15,1.02,,,,,15.254,14.146,11.626
2CXO J143628.0+335524,219.1170023,33.9233938,AGN,5.3529411764707415,2.819481725413417e-14,6.904244228227355e-15,2.7244254059903046e-14,6.234331554226458e-14,0.40536068860271,0.503,SDSS J14364+3355,219.117083,33.923333,Q;*|AGN|IR|Opt|QSO|UV|X,2010A&A...518A..10V,gca,0.9989408,1.0,19.132895,19.249155,18.811455,-1.6188,0.000228,0.0,0.0,0.991,,,,,14.999,14.002,11.069
2CXO J143633.0+344253,219.1376273,34.7149027,AGN,4.787878787878823,5.3144841304711105e-15,5.616863558317782e-15,7.257841681527243e-15,1.8189189370316136e-14,0.77793645507097,0.483,SDSS J14365+3442,219.1375,34.714722,Q;*|Opt|QSO|X,2010A&A...518A..10V,gca,0.99821836,1.0,19.44965,19.700481,19.059414,-0.4902,0.0002929999999999,0.0,0.0,0.986,,,,,16.229,14.944,11.863
2CXO J143651.5+343602,219.214669,34.6006188,AGN,9.530192897633212,1.5862415937633722e-14,2.406796491437252e-14,8.908577991575483e-14,1.2901616076776106e-13,0.83179710516968,0.992,SDSS J14368+3436,219.214583,34.600556,A;*|AGN|IR|NIR|Opt|QSO|Sy1|X,2010A&A...518A..10V,gcat,0.9988265,1.0,19.024572,18.787746,17.802818,-1.1501,0.0002879999999999,0.00073,2.215,1.107,,16.604,15.525,15.009,13.645,12.898,10.449
2CXO J143737.0+341030,219.4041743,34.1750606,LM-STAR,26.4101073099816,7.675708485009447e-14,1.935205780270877e-14,1.809131908772701e-14,1.1420046174053026e-13,0.999999999999761,0.53,G15377236853393,219.404284,34.174933,dM5;*|NIR|Opt|X,LAMOST-DR8-M,gcat,0.99918306,1.0,14.734366,16.282545,13.434858,24.6336,0.0253909999999999,0.004313,7481.0,27.389,87.4477539,11.704,11.099,10.835,10.696,10.514,10.332
2CXO J143756.4+351937,219.4852252,35.3269677,AGN,10.774780117547886,1.5639254288596646e-13,6.88715957852808e-14,1.889826845133e-13,4.1424682318454723e-13,0.66056267494455,,GB2 1435+355,219.485417,35.326944,Q;*|AGN|BLL|Bla|MIR|NIR|Opt|Q?|QSO|Rad|UV|X,2010A&A...518A..10V,gcat,0.9983724,1.0,18.584673,18.549021,18.166992,-1.2729,2.9e-05,0.0,0.0,1.017,,16.921,16.178,15.455,13.931,12.938,10.29
2CXO J143800.0+033527,219.5003463,3.5910961,LM-STAR,5.598877919479658,5.207391035849836e-15,6.22026862128048e-16,6.548984844520823e-16,6.4843163824299656e-15,0.0724213519672499,,L14928264706579,219.50028,3.591148,F0;*|NIR|Opt|X,LAMOST-DR8-AFGK,gcat,0.99828064,1.0,9.272367,9.469252,8.927731,244.8416,0.024169,7.199999999999999e-05,4.97,0.956,235.381165,8.591,8.398,8.363,8.266,8.338,8.33
2CXO J143828.7+354117,219.6196495,35.6882565,AGN,6.950636696252925,3.9604769752431e-14,3.6144997276413e-14,4.01351531607793e-14,1.1588492018962328e-13,0.3829981878947299,,SDSS J14384+3541,219.619583,35.688333,A;*|AGN|Opt|QSO|Sy1|X,2010A&A...518A..10V,gca,0.99697095,1.0,19.922468,19.589714,18.368776,0.9284,0.000414,0.002597,6.926,1.216,,,,,14.884,14.119,11.307
2CXO J143830.2+353915,219.6260384,35.6543739,AGN,14.83192099821109,2.2268777712364338e-13,1.1681073363539e-13,4.447670102750114e-13,7.842655210340448e-13,0.68812112833198,,SDSS J14385+3539,219.62625,35.654444,A;*|AGN|NIR|Opt|QSO|Rad|Sy1|X,2010A&A...518A..10V,gcat,0.9985301,1.0,18.53227,18.496325,17.601583,-1.1149,0.000247,8e-05,0.05479,1.024,,16.916,16.0,15.511,13.864,13.023,10.856
2CXO J143835.9+431459,219.6497808,43.249808,AGN,2.9142857142858345,5.488234169572654e-15,2.917690941419913e-15,1.096170847843604e-14,1.9367633589428605e-14,0.87702168806145,,SDSS J14385+4314,219.649583,43.249722,Q;*|NIR|Opt|QSO,2010A&A...518A..10V,gct,0.99863195,1.0,18.357388,19.822905,17.294027,1.3025,0.000171,8e-05,0.05814,1.014,,16.643,15.734,15.358,14.42,13.965,
2CXO J143859.0+033547,219.7459788,3.5964261,AGN,19.424082632283337,1.92800339652812e-14,2.1929382001504662e-14,6.068108787679404e-14,1.0189050384357993e-13,0.43728081986628,,SDSS J14389+0335,219.745833,3.596389,Q;*|Opt|QSO|UV|X,2010A&A...518A..10V,gca,0.99840635,1.0,18.907324,18.979378,18.49964,1.579,0.000299,0.0,0.0,0.985,,,,,14.997,13.795,10.844
